"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"POWERINDIA","INE07Y701011","ABB Power Products and Systems India Limited","30-Mar-2020","2","2","1","-"
"SBICARD","INE018E01016","SBI Cards and Payment Services Limited","16-Mar-2020","10","10","1","-"
"SUVENPHAR","INE03QK01018","Suven Pharmaceuticals Limited","09-Mar-2020","1","1","1","-"
"GEEKAYWIRE","INE669X01016","Geekay Wires Limited","06-Mar-2020","10","10","1","-"
"BAFNAPH","INE878I01022","Bafna Pharmaceuticals Limited","27-Feb-2020","10","10","1","-"
"ALOKINDS","INE270A01029","Alok Industries Limited","19-Feb-2020","1","1","1","-"
"UNIVPHOTO","INE03V001013","Universus Photo Imagings Limited","14-Feb-2020","10","10","1","-"
"MAHEPC","INE215D01010","Mahindra EPC Irrigation Limited","14-Feb-2020","10","10","1","-"
"ASALCBR","INE073G01016","Associated Alcohols & Breweries Ltd.","12-Feb-2020","10","10","1","-"
"BIRLATYRE","INE0AEJ01013","Birla Tyres Limited","10-Feb-2020","10","10","1","-"
"SHREDIGCEM","INE232A01011","Shree Digvijay Cement Co.Ltd","28-Jan-2020","10","10","1","-"
"SUMICHEM","INE258G01013","Sumitomo Chemical India Limited","27-Jan-2020","10","10","1","-"
"RUCHI","INE619A01035","Ruchi Soya Industries Limited","24-Jan-2020","2","2","1","-"
"ARTEMISMED","INE025R01013","Artemis Medicare Services Limited","23-Jan-2020","10","10","1","-"
"TOUCHWOOD","INE486Y01013","Touchwood Entertainment Limited","21-Jan-2020","10","10","1","-"
"DPWIRES","INE864X01013","D P Wires Limited","17-Jan-2020","10","10","1","-"
"VAISHALI","INE972X01014","Vaishali Pharma Limited","15-Jan-2020","10","10","1","-"
"MMP","INE511Y01018","MMP Industries Limited","09-Jan-2020","10","10","1","-"
"PANACHE","INE895W01019","Panache Digilife Limited","06-Jan-2020","10","10","1","-"
"PRINCEPIPE","INE689W01016","Prince Pipes And Fittings Limited","30-Dec-2019","10","10","1","-"
"SHIL","INE05AN01011","Somany Home Innovation Limited","26-Dec-2019","2","2","1","-"
"UJJIVANSFB","INE551W01018","Ujjivan Small Finance Bank Limited","12-Dec-2019","10","10","1","-"
"CSBBANK","INE679A01013","CSB Bank Limited","04-Dec-2019","10","10","1","-"
"CHEMBOND","INE995D01025","Chembond Chemicals Ltd","20-Nov-2019","5","5","1","-"
"KIRLFER","INE884B01025","Kirloskar Ferrous Industries Ltd","13-Nov-2019","5","5","1","-"
"APOLLOPIPE","INE126J01016","Apollo Pipes Limited","11-Nov-2019","10","10","1","-"
"JASH","INE039O01011","Jash Engineering Limited","30-Oct-2019","10","10","1","-"
"KUANTUM","INE529I01013","Kuantum Papers Limited","23-Oct-2019","10","10","1","-"
"GREENPANEL","INE08ZM01014","Greenpanel Industries Limited","23-Oct-2019","1","1","1","-"
"FLUOROCHEM","INE09N301011","Gujarat Fluorochemicals Limited","16-Oct-2019","1","1","1","-"
"VISHWARAJ","INE430N01014","Vishwaraj Sugar Industries Limited","15-Oct-2019","10","10","1","-"
"IRCTC","INE335Y01012","Indian Railway Catering And Tourism Corporation Limited","14-Oct-2019","10","10","1","-"
"AKASH","INE737W01013","Akash Infra-Projects Limited","11-Oct-2019","10","10","1","-"
"IIFLSEC","INE489L01022","IIFL Securities Limited","20-Sep-2019","2","2","1","-"
"IIFLWAM","INE466L01020","Iifl Wealth Management Limited","19-Sep-2019","2","2","1","-"
"SAFARI","INE429E01023","Safari Industries (India) Limited","12-Sep-2019","2","2","1","-"
"KRISHANA","INE506W01012","Krishana Phoschem Limited","22-Aug-2019","10","10","1","-"
"MBAPL","INE900L01010","Madhya Bharat Agro Products Limited","22-Aug-2019","10","10","1","-"
"SWSOLAR","INE00M201021","Sterling And Wilson Solar Limited","20-Aug-2019","1","1","1","-"
"JIYAECO","INE023S01016","Jiya Eco-Products Limited","19-Aug-2019","10","10","1","-"
"JUMPNET","INE974C01022","Jump Networks Limited","19-Aug-2019","5","5","1","-"
"BCP","INE905P01028","B.C. Power Controls Ltd","19-Aug-2019","2","2","1","-"
"ZOTA","INE358U01012","Zota Health Care LImited","19-Aug-2019","10","10","1","-"
"SPANDANA","INE572J01011","Spandana Sphoorty Financial Limited","19-Aug-2019","10","10","1","-"
"WESTLIFE","INE274F01020","Westlife Development Ltd","19-Aug-2019","2","2","1","-"
"VISHAL","INE755Q01025","Vishal Fabrics Limited","19-Aug-2019","5","5","1","-"
"DOLAT","INE966A01022","Dolat Investments Limited","19-Aug-2019","1","1","1","-"
"VIKASPROP","INE767B01022","Vikas Proppant & Granite Limited","19-Aug-2019","1","1","1","-"
"HNDFDS","INE254N01018","Hindustan Foods Limited","19-Aug-2019","10","10","1","-"
"AFFLE","INE00WC01019","Affle (India) Limited","08-Aug-2019","10","10","1","-"
"CREATIVE","INE985W01018","Creative Peripherals and Distribution Limited","05-Aug-2019","10","10","1","-"
"SHRENIK","INE632X01022","Shrenik Limited","02-Aug-2019","2","2","1","-"
"SUMIT","INE748Z01013","Sumit Woods Limited","30-Jul-2019","10","10","1","-"
"LIBAS","INE908V01012","Libas Designs Limited","23-Jul-2019","10","10","1","-"
"SIRCA","INE792Z01011","Sirca Paints India Limited","22-Jul-2019","10","10","1","-"
"GFSTEELS","INE534A01028","Grand Foundry Limited","22-Jul-2019","4","4","1","-"
"SATIA","INE170E01023","Satia Industries Limited","17-Jul-2019","1","1","1","-"
"DCMNVL","INE08KP01019","DCM Nouvelle Limited","16-Jul-2019","10","10","1","-"
"INFOBEAN","INE344S01016","InfoBeans Technologies Limited","15-Jul-2019","10","10","1","-"
"SANGINITA","INE753W01010","Sanginita Chemicals Limited","15-Jul-2019","10","10","1","-"
"SEYAIND","INE573R01012","Seya Industries Limited","11-Jul-2019","10","10","1","-"
"OAL","INE959C01023","Oriental Aromatics Limited","11-Jul-2019","5","5","1","-"
"INDIAMART","INE933S01016","Indiamart Intermesh Limited","04-Jul-2019","10","10","1","-"
"STEELCITY","INE395H01011","Steel City Securities Limited","27-Jun-2019","10","10","1","-"
"DGCONTENT","INE03JI01017","Digicontent Limited","18-Jun-2019","2","2","1","-"
"PPL","INE050001010","Prakash Pipes Limited","14-Jun-2019","10","10","1","-"
"CONFIPET","INE552D01024","Confidence Petroleum India Limited","13-Jun-2019","1","1","1","-"
"GBGLOBAL","INE087J01028","GB Global Limited","04-Jun-2019","10","10","1","-"
"EMAMIPAP","INE830C01026","Emami Paper Mills Limited","30-May-2019","2","2","1","-"
